@relation Dry_Beans_Dataset-weka.filters.unsupervised.instance.Randomize-S98225-weka.filters.unsupervised.instance.Randomize-S98225-weka.filters.unsupervised.instance.Randomize-S98225-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V

@attribute Area numeric
@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
34044,686.252,256.774135,169.170536,1.517842,0.752292,34448,208.197423,0.779253,0.988272,0.908413,0.810819,0.007542,0.002011,0.657428,0.997872,DERMASON
36958,709.414,254.381658,185.523512,1.371156,0.684182,37398,216.924842,0.790478,0.988235,0.922824,0.852753,0.006883,0.002245,0.727188,0.997089,SIRA
68841,991.351,371.984106,236.200846,1.574864,0.772532,69365,296.059257,0.801371,0.992446,0.880242,0.795892,0.005404,0.001337,0.633444,0.997589,CALI
28472,627.578,219.748873,165.953667,1.324158,0.655498,28848,190.39873,0.694541,0.986966,0.908432,0.866438,0.007718,0.002683,0.750714,0.994065,DERMASON
45626,796.935,297.923673,195.812719,1.521473,0.753666,46212,241.024537,0.698928,0.987319,0.902769,0.809014,0.00653,0.001725,0.654504,0.99581,SIRA
31494,650.262,236.293168,170.010418,1.389875,0.694503,31769,200.248361,0.733442,0.991344,0.935968,0.847457,0.007503,0.002387,0.718184,0.998185,DERMASON
31745,660.531,251.450298,161.040256,1.561413,0.768003,32091,201.044745,0.811415,0.989218,0.914321,0.799541,0.007921,0.001997,0.639265,0.998157,DERMASON
54230,940.76,337.98052,204.907323,1.649431,0.795259,55277,262.769444,0.788674,0.981059,0.770002,0.777469,0.006232,0.001405,0.604458,0.997012,BARBUNYA
26920,607.998,227.535915,151.080927,1.506053,0.747744,27204,185.136729,0.79943,0.98956,0.915125,0.813659,0.008452,0.002285,0.662042,0.99707,DERMASON
45278,771.915,275.882228,209.201255,1.318741,0.651907,45666,240.103603,0.793557,0.991504,0.954901,0.870312,0.006093,0.002156,0.757443,0.998871,SEKER
