@relation Dry_Beans_Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute Area numeric
@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
-0.501304,-0.698095,-0.911922,-0.009506,-1.557957,-2.165714,-0.508153,-0.542401,0.438948,1.148317,1.585774,1.834903,-0.224379,1.661442,1.920933,1.041744,SEKER
-0.530734,-0.643734,-0.772966,-0.309993,-0.952907,-0.87181,-0.533207,-0.584656,0.143328,0.454062,0.707943,0.981417,0.186039,0.963535,0.977312,0.698259,DERMASON
0.056463,0.371042,0.699677,-0.39265,1.928251,1.339461,0.055711,0.183366,-0.409145,-0.040131,-1.455037,-1.710042,0.341044,-1.207966,-1.631321,-0.56717,HOROZ
-0.455608,-0.490637,-0.376649,-0.559906,0.171369,0.407429,-0.453778,-0.477723,-1.689506,-0.274019,0.218647,-0.307285,0.611346,-0.087575,-0.341279,-0.874007,DERMASON
0.880802,1.106383,1.123792,0.891435,0.547497,0.677317,0.869248,1.078823,-0.236293,0.676382,-0.716177,-0.630065,-1.138248,-1.046871,-0.651533,-0.002934,CALI
-0.802592,-0.973423,-0.888822,-1.042689,-0.052977,0.218196,-0.802125,-1.000658,-0.550308,0.087856,0.227346,-0.086247,1.509833,0.530821,-0.124193,-0.874771,DERMASON
-0.299968,-0.23545,-0.180893,-0.361445,0.22079,0.446039,-0.299118,-0.265247,-0.371228,-0.158806,-0.248509,-0.335265,0.284228,-0.25298,-0.36849,-0.181818,SIRA
-0.753008,-0.940486,-0.925572,-0.850091,-0.46688,-0.203965,-0.75487,-0.920936,1.157664,0.530239,0.625646,0.399548,1.07557,0.841083,0.366125,0.683451,DERMASON
-0.080012,0.171933,0.507717,-0.527594,1.83844,1.307326,-0.08266,0.017137,-2.733056,0.228607,-1.222188,-1.639432,0.539626,-1.110342,-1.570004,-0.181777,HOROZ
0.892806,1.052942,1.107034,0.9596,0.436774,0.603297,0.897964,1.090759,0.494539,-0.642178,-0.355286,-0.55982,-1.175111,-1.019514,-0.584697,-1.062845,CALI
